Airport Code,Airport Name
,Ondwa Airport
,Phalodi Airport
,Sirohi Airport
,Banswara Airport
,Abu Road Airport
,Suratgarh New Airport
,Jhunjhunu Airport
,Pilani New Airport
,Nagaur Airport
,Hosur Airport
,Muirpur Airport
,Jhansi Airport
,Aamby Valley Airport
,Akbarpur Mahamaya Rajkiya Airport
,Akli Airport
,Dhanipur Airstrip
,Amla Airport
,Amravati (Belora) Airstrip
,Savitri Jindal Airport
,INS Rajali / Arakkonam Naval Air Station
,Awantipura Air Force Station
,Dinjan Airfield
,Cuttack Airport
,Saifai Airport
,Ulao Aerodrome
,Benti Airstrip
,Berhampur Airport
,Beas Airport
,Andhau Airfield
,Chabua Air Force Station
,Tambaram Air Force Station
,Maa Ganga Airport Uttarkashi
,Chushul Airstrip
COH,Cooch Behar Airport
DEP,Daporijo Airport
,Deesa Airport
,Therubali Aerodrome
,Mandla Airstrip
,Dunakonda Airport
,Halwara Air Force Station
,Noamundi Airport
PYB,Jeypore Airport
,Sukinda Airstrip
,IIT Kanpur Airport
,Kargil Airport
,Mechuka Advanced Landing Ground
,Fury Airport
,Khandwa Airport
,Fukche Advanced Landing Ground
,Lalitpur Airport
,Bakshi Ka Talab Air Force Station
,Madhubani Airport
,Viraf Airstrip
,Mandvi Airport
,Marhamtabad Airport
,Mau Heliport
,Dr. Bhimrao Ambedkar Airstrip
,Mehsana Airport
,Mithapur Airport
,Mohammadabad Airport
,Mundra Airport
,Kovilpatti Airport
,Nawapara Airport
NVY,Neyveli Airport
,Daulat Beg Oldi Advanced Landing Ground
,Nyoma Airstrip
OMN,Osmanabad Airport
,Bihta Air Force Station
,Pithoragarh Airport
,Poonch Airport
,Birasal Airport
RJI,Rajouri Airport
RMD,Basanth Nagar Airport
,Ramnad Naval Air Station
RUP,Rupsi Airport
,Saharsa Airport
,Hirakud Airport
,Sarsawa Air Force Station
,Shirpur Airport
,Sookerating (Doomdooma) Airport
TEI,Tezu Airport
,Tuting Advanced Landing Ground
,Bentayan Airport
,Umaria Air Field
,Vanasthali Airport
,Vellore Airport
,Vijay Nagar Airport
WGC,Warangal Airport
,Siachen Base Camp Heliport
,Tawang Air Force Station
,Kavaratti Helipad
,Koirengei Airstrip
,Pukpui Helipad
,Vairengte Helipad
,no airport
,Salwas
,Dudhkundi Airfield
,Piardoba Airfield
,Bishnupur Airfield
,Guskhara Airfield
,Pandaveswar Airfield
,Abohar Heliport
,Adilabad Airfield
,Shanti Nagar Heliport
,Adilabad Heliport
,Adiudupi Heliport
,Kayathar Airstrip
,SVP Hospital Helipad
,CQAV Heliport
,Ahmednagar Police Heliport
,DMR Area Heliport
,ACC&S Heliport
,Thuampui Helipad
,Mizoram University Heliport
,Mualpui Helipot
,Ajog Heliport
,Alappuzha Heliport
,Saily Police Training School Heliport
,Amaravati Heliport
,Amini Helipad
,Anachal Heliport / Southern Skies Balloonport
,Anaparthi Heliport
,Andrott Heliport
,Vagator Helipad
,Areshiroor Helipad
,INS Kadamba Heliport
,Dalapchand Heliport
,Ashoknagar Airfield
,Ayiranalloor Heliport
,Badangi Airstrip
,Bagalkot Heliport
,NOCCi Business Park Heliport
,Tata Steel Bamnipal Heliport
,Bamnipal Heliport
,Central University of Rajasthan Heliport
,Bangaram Heliport
,Manjunath Huded Helipad
,Chikodi Helipad
,Infosys Heliport
,Oterra Hotel Helipad
,Rangeilunda Heliport
,Bhainsdehi Helipad
,Bhograi Heliport
,Bhokardan Heliport
,Bilaspur Helipad
,Bitra Heliport
,Boleng Heliport
,Buragam Heliport
,Sequirem Heliport
,Ottakathatla Helipad
,Aviation Research Centre RAW Headquarters Helipad
,Champhai Heliport
,Chango Heliport
,Air 16 Heliport
,Chennai Military Hospital Helipad
,Chetlat Heliport
,Mozari Point Helipad
,Chumathang Heliport
,Anna Stadium Heliport
,Nellore Airport
,Dahod Helipad
,Darlawn Chhimveng Heliport
,Davanagere Heliport
,Deomali Heliport
,Dholka Heliport
,Dhubulia Airstrip
,Digha Heliport
,Aerial Bay Heliport
,Diglipur Heliport
,Digri Airstrip
,Raj Bhavan Heliport
,Kia Factory Heliport
,Kia Factory Helipad
,Duliajan Oil Heliport
,Dwarkadhish Heliport
,Dwarkashish Heliport
,Ella Heliport
,Lakeshore Hospital Helipad
,Amrita Heliport
,Bolgatty / Lulu Grand Hyatt Heliport
,Indian Naval Academy Heliport
,Gadag Government Estate Heliport
,Jindal Heliport
,Tata Steel Gadapur Heliport
,Dhirubhai Ambani Heliport
,Koba Heliport
,Gujarat State Assembly Heliport
,STC BSF Indian Army Helipad
,Gelling Heliport
,Ghooghra Heliport Ajmer
,TELAV Helipad
,MMMUT Heliport
,Fertilizer Colony Helipad
,Havelock Heliport
,Jaypee Greens Helipad
,Gulbarga Heliport
,Guntur Police Parade Ground Heliport
,Hadagali Helipad
,Sardar Patel Heliport
,Agra Heliport
,Defence Research and Development Organization Helipad
,Naini Airfield
,Itanagar (Naharlagun) Heliport
,Itanagar (Naharlagun) Heliport
,Jaigaon Heliport
,PAP Complex Heliport
,Jain Irrigations Helipad
,Dimna Lake Helipad
,Jengging Heliport
,Kadmat Heliport
,Kakinada Beach Navy Heliport
,Jawaharlal Nehru Technological University Heliport
,Kakraban Heliport
,Kalol Heliport
,Kalpa Heliport
,Kalpeni Heliport
,Kalyan Airstrip
,Chettinad Airstrip
,Kanchrapara Airfield
,Catholic Medical Centre Helipad
,Kanyakumari Heliport
,MARG Heliport
,Kargil Heliport
,Karimnagar Heliport
,Karu Heliport
,Kawade Heliport
,Kawnpui Helipad
,Kawrtethawveng Heliport
,Chettinad Health City Helipad
,Nimmoo Basgo Hydroelectric Plant Heliport
,Khaltsi Heliport
,Khuldo Heliport
,Kiari Heliport
,Kiltan Heliport
,Kishanpura Goyla Heliport
,Pushkar Hotel Heliport
,Aster Hospital Helipad
,Kohima Helipad
,Ashramam Helipad
,Jatayu-Chipsan Aviation Heliport
,HAL Heliport
,Koteshwara Heliport
,Kottayam Police Heliport
,Jabua Airstrip
,ECR Heliport
,SAP Camp Helipad
,Hut Bay Heliport
,Hut Bay Seaplane Base
,Neil Island Heliport
,ACC Heliport
,Ledo Airfield
,Leh Heliport
,Sethlun Heliport
,Maithon Heliport
,Luangpawl Heliport
,Man Heliport
,INS Parundu Heliport
,AVC Polytechnic College Heliport
,Chethy Beach Helipad
,Daman Heliport
,Mathura Heliport
,Mavalli Helipad
,Mayabunder Heliport
,Miao Heliport
,Kunjali Helipad
,Minicoy Heliport
,Minicoy Fire Station Heliport
,Vallur Camp Heliport
,KSEB Heliport
,Rukling Heliport
,Judi Heliport
,Dinjan Air Force Station
,Shikra Naval Helibase
,Butcher Island Helipad
,Mahalaxmi Race Course Helipad
,Rajbhavan Helipad
,Mumbai University Heliport
,HQ Eastern Air Command Helipad
,Nagapattinam Heliport
,United Phosphorus Helipad
,Nako Heliport
,Nalung Heliport
,Nampong Heliport
,Namsai Heliport
,Chowra Island Heliport
,Tarasa Dwip Island Heliport
,Kamorta Heliport
,Goaltekery Heliport
,Champin Heliport
,Katchal Heliport
,Naraj Heliport
,BKT Heliport
,Reliance Corporate Park Heliport
,Reliance Corporate Park North Heliport
,Navi Mumbai International Airport (under construction)
,Namchi Helipad
,Krishnapatnam North Heliport
,Narayana Medical College Heliport
,Nimmoo Heliport
,Devaswam Board Pampa College Helipad
,Nyoma Heliport
,ABM Junior College Heliport
,Ongole Police Training College Heliport
,Prakrithisakthi Helipad
,Pangin Heliport
,Parsuram Kund Heliport
,Parva Helipad
,Paschim Jalefa Heliport
,Manjinikkara Helipad
,Chipsan-Orange Hills Heliport
,Pedong Helipad
,Pelling Helipad
,Sabarimala Nilakkal Heliport
,Kalyani BSF Helipad
,Phalodi Airfield
,Pooh Heliport
,Ross Island Heliport
,Chidiya Tapu Heliport
,Prayagraj Army Helipad
,Pondicherry Heliport
,Pondicherry Harbour Heliport
,Puri Heliport
,Charra Airfield
,Pushkar Heliport
,Quitol Heliport
,Udaipur Helipad
,Ramanathapuram Heliport
,Rangat Heliport
,Rasgovindpur Airstrip
,GMR Institute of Technology Helipad
,Rohini Heliport
,Roing Heliport
,Sivasagar Heliport
,Saiha Helipad
,Saitual Heliport
,Sevoke Road Indian Army Heliport
,Sagar Helipad
,Sarkhej-Okaf Heliport
,Cholavaram Airstrip
,Serchhip Helipad
,Shegaon Heliport
,Shillong Indian Army Helipad
,Annadale Helipad
,Jhakri SJVN Heliport
,Rampur Bushahr Heliport
,Tharu Heliport
,Bithal Heliport
,Kumharsain Heliport
,Shivamogga Greenfield Airport
,Shoktsen Heliport
,Sialsuk Heliport
,Haveli Grounds Heliport
,Tata Steel Helipad
,Sito Gunno Helipad
,Kaurik Heliport
,Sri City Heliport
,Sriharikota Heliport
,Srikakulam Heliport
,Suangpuilawn Heliport
,Suheli Par Heliport
,HAL Heliport
,Sundipenta Helipiort
,Surtok Heliport
,Tadepalligudem Airstrip
,Tangtse Heliport
,NTPC Kudgi Helipad
,Tenali Market Heliport
,Kuttanellur Heliport
,Tiloniya Heliport
,Tuipuibari Heliport
,Upper Tadong Indian Army Helipad
,Upshi Heliport
,MAA Foundation Helipad
,Varkala Helipad
,Ulundurpet Airstrip
,Suvarnakuteer Phase II Helipad
,Rushikonda Beach Heliport
,Oxygen Towers Helipad
,MIRC Heliport
,Yanam Heliport
,Sant Gadge Baba - Yavatmal Aioort
,Yingkiong Heliport
